,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob,Away_Decimal_Odds,Home_Decimal_Odds
"25,1",2021-10-22,Boston Bruins,0,Buffalo Sabres,0,0,0,0,1536.007565604796,1440.654305177491,0.6008797624729795,0.3991202375270205,1.6642264600232202,2.50551063558209
"25,2",2021-10-22,Los Angeles Kings,0,Dallas Stars,0,0,0,0,1452.730493774311,1473.3941648592456,0.4372976002684672,0.5627023997315328,2.2867722104719457,1.7771383247647483
"25,3",2021-10-22,Edmonton Oilers,0,Vegas Golden Knights,0,0,1,0,1524.6453623512457,1559.7569702625942,0.3166416541843582,0.6833583458156418,3.158144188502029,1.4633610698153128
"26,0",2021-10-23,New York Rangers,0,Ottawa Senators,0,0,0,0,1498.72892578367,1486.7316160132636,0.48425865749455144,0.5157413425054486,2.0650121263165055,1.9389564449924537
"26,1",2021-10-23,Calgary Flames,0,Washington Capitals,0,0,0,0,1486.0150445429372,1536.1204106113955,0.39538835263731487,0.6046116473626851,2.529158973272256,1.653954243789378
"26,2",2021-10-23,Anaheim Ducks,0,Minnesota Wild,0,0,0,0,1442.9768930537132,1541.9981702556054,0.32823398855596586,0.6717660114440341,3.046607100012417,1.4886135692551505
"26,3",2021-10-23,Detroit Red Wings,0,Montréal Canadiens,0,0,0,0,1452.5229031169015,1524.338485276843,0.3650962538989243,0.6349037461010757,2.7390037266086185,1.5750418959424466
"26,4",2021-10-23,Colorado Avalanche,0,Tampa Bay Lightning,0,0,0,0,1562.216140913711,1563.1276521234515,0.46568823293233474,0.5343117670676653,2.1473593904299952,1.8715664928887108
"26,5",2021-10-23,Buffalo Sabres,0,New Jersey Devils,0,0,1,0,1440.654305177491,1448.378720253926,0.3558855043248864,0.6441144956751136,2.8098924734150006,1.552519011316262
"26,6",2021-10-23,Florida Panthers,0,Philadelphia Flyers,0,0,0,0,1545.9482247731423,1471.1582078374126,0.5729992523057679,0.42700074769423213,1.7452029753546223,2.341916273917353
"26,7",2021-10-23,Toronto Maple Leafs,0,Pittsburgh Penguins,0,0,1,0,1521.7383346071497,1540.7279677509364,0.33969890159481053,0.6603010984051895,2.9437834367589155,1.5144606035265997
"26,8",2021-10-23,Carolina Hurricanes,0,Columbus Blue Jackets,0,0,0,0,1534.974071024255,1442.0952561020642,0.5975677966821288,0.4024322033178712,1.6734502855613915,2.4848906020826687
"26,9",2021-10-23,Nashville Predators,0,Winnipeg Jets,0,0,0,0,1525.5450930589127,1500.0379988005302,0.5036418521584839,0.4963581478415161,1.9855379288163768,2.014674291836735
"26,10",2021-10-23,Los Angeles Kings,0,St. Louis Blues,0,0,1,0,1452.730493774311,1485.2672940343534,0.3203121852497287,0.6796878147502713,3.1219542872537254,1.4712636865020403
"26,11",2021-10-23,New York Islanders,0,Arizona Coyotes,0,0,0,0,1541.52762789748,1470.147049144132,0.5683035763528437,0.4316964236471563,1.759622922694979,2.316442632421116
"26,12",2021-10-23,Vancouver Canucks,0,Seattle Kraken,0,0,0,0,1467.6595878991968,1500.0,0.4205923610755563,0.5794076389244437,2.3775990544449224,1.7259006143866231
"27,0",2021-10-24,San Jose Sharks,0,Boston Bruins,0,0,0,0,1449.8109709182972,1536.007565604796,0.34543704139160847,0.6545629586083915,2.894883524857252,1.5277369225506003
"27,1",2021-10-24,Nashville Predators,0,Minnesota Wild,0,0,1,1,1525.5450930589127,1541.9981702556054,0.4433398024631142,0.5566601975368858,2.255606183889162,1.7964280622627726
"27,2",2021-10-24,Detroit Red Wings,0,Chicago Blackhawks,0,0,1,0,1452.5229031169015,1471.1529819944997,0.34021482805124736,0.6597851719487526,2.9393192699095634,1.5156448530760143
"27,3",2021-10-24,New York Islanders,0,Vegas Golden Knights,0,0,1,0,1541.52762789748,1559.7569702625942,0.3407899145090574,0.6592100854909426,2.9343591386517467,1.5169670822849384
"28,0",2021-10-25,Tampa Bay Lightning,0,Buffalo Sabres,0,0,0,0,1563.1276521234515,1440.654305177491,0.6362983371551955,0.36370166284480454,1.5715898370422685,2.749506263397841
"28,1",2021-10-25,Washington Capitals,0,Ottawa Senators,0,0,0,0,1536.1204106113955,1486.7316160132636,0.5376012746129821,0.4623987253870179,1.8601146374139415,2.162635719125353
"28,2",2021-10-25,Arizona Coyotes,0,Florida Panthers,0,0,0,0,1470.147049144132,1545.9482247731423,0.35961183465948754,0.6403881653405125,2.7807761136306564,1.5615529051325796
"28,3",2021-10-25,Calgary Flames,0,New York Rangers,0,0,0,0,1486.0150445429372,1498.72892578367,0.4487114166986891,0.5512885833013109,2.228603870517301,1.813931995492536
"28,4",2021-10-25,Toronto Maple Leafs,0,Carolina Hurricanes,0,0,0,0,1521.7383346071497,1534.974071024255,0.44796145326482184,0.5520385467351782,2.2323349313022898,1.811467706221095
"28,5",2021-10-25,Dallas Stars,0,Columbus Blue Jackets,0,0,0,0,1473.3941648592456,1442.0952561020642,0.5119212980877372,0.48807870191226277,1.9534252701254322,2.0488499008091536
"28,6",2021-10-25,Los Angeles Kings,0,St. Louis Blues,0,0,0,0,1452.730493774311,1485.2672940343534,0.4203121852497287,0.5796878147502713,2.379183937781508,1.7250664487933018
"29,0",2021-10-26,Calgary Flames,0,New Jersey Devils,0,0,1,0,1486.0150445429372,1448.378720253926,0.42095215500165106,0.5790478449983489,2.375566885970872,1.7269730103267225
"29,1",2021-10-26,Tampa Bay Lightning,0,Pittsburgh Penguins,0,0,1,0,1563.1276521234515,1540.7279677509364,0.3991911478349115,0.6008088521650885,2.505065569273489,1.6644228799165943
"29,2",2021-10-26,Vegas Golden Knights,0,Colorado Avalanche,0,0,0,0,1559.7569702625942,1562.216140913711,0.46346102804791756,0.5365389719520824,2.1576787248152596,1.8637975101076323
"29,3",2021-10-26,San Jose Sharks,0,Nashville Predators,0,0,0,0,1449.8109709182972,1525.5450930589127,0.35970388486935434,0.6402961151306457,2.780064497672032,1.5617773970031983
"29,4",2021-10-26,Minnesota Wild,0,Vancouver Canucks,0,0,0,0,1541.9981702556054,1467.6595878991968,0.5723786133158613,0.42762138668413874,1.7470953259536974,2.3385172751863483
"29,5",2021-10-26,Winnipeg Jets,0,Anaheim Ducks,0,0,0,0,1500.0379988005302,1442.9768930537132,0.5483870890957663,0.4516129109042337,1.8235294372974695,2.2142856766379158
"29,6",2021-10-26,Montréal Canadiens,0,Seattle Kraken,0,0,0,0,1524.338485276843,1500.0,0.5019687144538585,0.4980312855461415,1.9921560272695462,2.007905987077497
"30,0",2021-10-27,Boston Bruins,0,Florida Panthers,0,0,0,0,1536.007565604796,1545.9482247731423,0.45269814386724483,0.5473018561327552,2.208977468865552,1.8271452742112335
"30,1",2021-10-27,Detroit Red Wings,0,Washington Capitals,0,0,0,0,1452.5229031169015,1536.1204106113955,0.34896268001517994,0.6510373199848201,2.8656359469628665,1.5360102551775627
"30,2",2021-10-27,Toronto Maple Leafs,0,Chicago Blackhawks,0,0,0,0,1521.7383346071497,1471.1529819944997,0.5392880998291696,0.4607119001708304,1.85429643323628,2.1705538746214357
"30,3",2021-10-27,Vegas Golden Knights,0,Dallas Stars,0,0,1,0,1559.7569702625942,1473.3941648592456,0.488787989914481,0.511212010085519,2.045876782232234,1.9561355763780144
"30,4",2021-10-27,Philadelphia Flyers,0,Edmonton Oilers,0,0,0,0,1471.1582078374126,1524.6453623512457,0.3906281861301997,0.6093718138698003,2.559979119547435,1.6410342212081082
"31,0",2021-10-28,Arizona Coyotes,0,Tampa Bay Lightning,0,0,0,0,1470.147049144132,1563.1276521234515,0.3362957180353693,0.6637042819646307,2.973573394992876,1.506695115842707
"31,1",2021-10-28,Calgary Flames,0,Pittsburgh Penguins,0,0,0,0,1486.0150445429372,1540.7279677509364,0.3889062539907082,0.6110937460092918,2.5713137542496094,1.6364101359741208
"31,2",2021-10-28,Boston Bruins,0,Carolina Hurricanes,0,0,1,0,1536.007565604796,1534.974071024255,0.36848731387246625,0.6315126861275338,2.7137976325179562,1.5834994640124307
"31,3",2021-10-28,Colorado Avalanche,0,St. Louis Blues,0,0,0,0,1562.216140913711,1485.2672940343534,0.5759624864801611,0.42403751351983887,1.7362241872925255,2.358281916378642
"31,4",2021-10-28,Philadelphia Flyers,0,Vancouver Canucks,0,0,1,0,1471.1582078374126,1467.6595878991968,0.3720347486462775,0.6279652513537225,2.6879209634011314,1.5924448014349069
"31,5",2021-10-28,Buffalo Sabres,0,Anaheim Ducks,0,0,0,0,1440.654305177491,1442.9768930537132,0.4636575771510335,0.5363424228489665,2.156764063135878,1.8644805210226658
