Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO
2021-01-26,Philadelphia Flyers,5,New Jersey Devils,3,2,0,0,1505.8474371377401,1499.435657744772
2021-01-26,Chicago Blackhawks,2,Nashville Predators,3,1,0,0,1479.8620782051016,1498.2808111110912
2021-01-26,St. Louis Blues,5,Vegas Golden Knights,4,1,0,0,1506.3874702148246,1518.7462916312904
2021-01-26,Edmonton Oilers,4,Winnipeg Jets,6,2,0,0,1485.482545642928,1523.8379763304154
2021-01-26,New York Islanders,2,Washington Capitals,3,1,0,0,1500.0956084122035,1506.2584570171518
2021-01-27,Chicago Blackhawks,1,Nashville Predators,2,1,1,1,1472.813788343477,1505.3291009727159
2021-01-27,Ottawa Senators,1,Vancouver Canucks,5,4,0,0,1459.7247187354114,1491.857125634564
2021-01-28,Anaheim Ducks,2,Arizona Coyotes,3,1,0,0,1484.5953399637626,1485.1954247813542
2021-01-28,Pittsburgh Penguins,1,Boston Bruins,4,3,0,0,1500.6196820209323,1523.5700994299111
2021-01-28,New York Rangers,3,Buffalo Sabres,2,1,0,0,1478.5692855049847,1485.6037727323042
2021-01-28,Tampa Bay Lightning,0,Carolina Hurricanes,1,1,0,0,1506.438599877443,1517.0879698776018
2021-01-28,Florida Panthers,2,Columbus Blue Jackets,3,1,0,0,1513.4141413183238,1487.806474793104
2021-01-28,San Jose Sharks,0,Colorado Avalanche,3,3,0,0,1489.371473292965,1515.5970199486653
2021-01-28,Detroit Red Wings,3,Dallas Stars,7,4,0,0,1469.110107682416,1527.9998171349187
2021-01-28,Toronto Maple Leafs,4,Edmonton Oilers,3,1,0,0,1537.6943069153458,1477.9783304857121
2021-01-28,Los Angeles Kings,3,Minnesota Wild,5,2,0,0,1487.473900072907,1512.6330800942308
2021-01-28,Calgary Flames,2,Montreal Canadiens,4,2,0,0,1484.25514721323,1524.6523946853213
2021-01-28,Philadelphia Flyers,3,New Jersey Devils,1,2,0,0,1514.22781721925,1491.0552776632621
2021-01-28,Ottawa Senators,1,Vancouver Canucks,4,3,1,1,1452.9904924581044,1498.591351911871
2021-01-28,New York Islanders,3,Washington Capitals,6,3,0,0,1492.7654983643629,1513.5885670649925
2021-01-29,Columbus Blue Jackets,2,Chicago Blackhawks,1,1,1,0,1497.5894695516583,1463.0307935849225
2021-01-30,St. Louis Blues,6,Anaheim Ducks,1,5,0,0,1514.4143448671412,1476.568465311446
2021-01-30,New Jersey Devils,3,Buffalo Sabres,4,1,0,0,1483.4577624237356,1493.2012879718307
2021-01-30,Dallas Stars,1,Carolina Hurricanes,4,3,0,0,1520.2766451455507,1524.8111418669698
2021-01-30,Florida Panthers,3,Detroit Red Wings,2,1,0,0,1520.9274968847942,1461.5967521159455
2021-01-30,Toronto Maple Leafs,3,Edmonton Oilers,4,1,0,0,1528.8606776003146,1486.8119598007434
2021-01-30,Colorado Avalanche,5,Minnesota Wild,1,4,0,0,1524.0567743669583,1504.1733256759378
2021-01-30,Calgary Flames,2,Montreal Canadiens,0,2,0,0,1493.709158950414,1515.1983829481374
2021-01-30,Pittsburgh Penguins,5,New York Rangers,4,1,0,0,1508.6406334840044,1470.5483340419125
2021-01-30,New York Islanders,2,Philadelphia Flyers,3,1,0,0,1485.7870588749265,1521.2062567086864
2021-01-30,Nashville Predators,3,Tampa Bay Lightning,4,1,0,0,1497.8826480422622,1513.8850528078967
2021-01-30,Vancouver Canucks,4,Winnipeg Jets,1,3,0,0,1507.6996558898609,1514.7296723524255
2021-01-30,Boston Bruins,3,Washington Capitals,4,1,0,0,1515.8683293648392,1521.2903371300645
2021-01-31,St. Louis Blues,4,Anaheim Ducks,1,3,1,1,1522.0743416910275,1468.9084684875597
2021-01-31,New Jersey Devils,5,Buffalo Sabres,3,2,1,1,1492.2100565932062,1484.44899380236
2021-01-31,Dallas Stars,3,Carolina Hurricanes,4,1,1,1,1512.9090498631642,1532.1787371493563
2021-01-31,Columbus Blue Jackets,1,Chicago Blackhawks,3,2,0,0,1489.3243406080824,1471.2959225284985
2021-01-31,Florida Panthers,3,Detroit Red Wings,2,1,1,1,1528.102482512947,1454.4217664877926
2021-01-31,Ottawa Senators,5,Edmonton Oilers,8,3,0,1,1444.694809879702,1495.1076423791458
2021-01-31,Colorado Avalanche,3,Minnesota Wild,4,1,1,1,1516.1274402159363,1512.1026598269598
2021-01-31,New York Islanders,3,Philadelphia Flyers,4,1,1,1,1479.1278024567569,1527.865513126856
2021-02-01,Vancouver Canucks,2,Montreal Canadiens,6,4,0,0,1500.400293655544,1522.4977451824543
2021-02-01,Pittsburgh Penguins,1,New York Rangers,3,2,0,0,1500.2950235092876,1478.8939440166293
2021-02-01,Nashville Predators,2,Tampa Bay Lightning,5,3,0,0,1490.7788566935162,1520.9888441566427
2021-02-01,Calgary Flames,4,Winnipeg Jets,3,1,0,0,1502.7205844459163,1505.718246856923
2021-02-01,Boston Bruins,5,Washington Capitals,3,2,0,0,1524.5211655733112,1512.6375009215924
2021-02-02,Dallas Stars,6,Columbus Blue Jackets,3,3,0,0,1520.894824466073,1481.3385660051736
2021-02-02,Carolina Hurricanes,4,Chicago Blackhawks,3,1,0,0,1539.319033725168,1464.1556259526867
2021-02-02,Minnesota Wild,1,Colorado Avalanche,2,1,0,0,1504.7233296749878,1523.5067703679083
2021-02-02,Ottawa Senators,2,Edmonton Oilers,4,2,0,0,1438.3755298083167,1501.426922450531
